location,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport
lat,15.87821,15.87821,15.87821,15.87821
lon,108.28125,108.28125,108.28125,108.28125
asl,26.241,26.241,26.241,26.241
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total
unit,°C,%,hPa,mm
level,2 m elevation corrected,2 m,MSL,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
,,,,
,,,,
timestamp,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation
20190105T2100,24.475567,87.68446,1018.9,0
20190105T2200,23.935566,88.232574,1018.8,0.3
20190105T2300,23.325565,89.87729,1018.4,0
20190106T0000,22.515566,93.82786,1018.1,0
20190106T0100,22.225567,94.91673,1017.7,0
20190106T0200,22.505566,94.05763,1017.2,0
20190106T0300,22.895567,94.30159,1017.1,0.1
20190106T0400,22.805567,93.32382,1017.2,0.2
20190106T0500,22.905565,95.75042,1017.2,0.1
20190106T0600,22.855566,95.16733,1017.7,0
20190106T0700,22.815565,97.03989,1018.4,0
20190106T0800,23.015566,99.60706,1019.1,0
20190106T0900,24.505566,91.270676,1019.5,0.1
20190106T1000,24.005566,93.71213,1019.2,0
20190106T1100,24.305567,91.25989,1018.7,0
20190106T1200,25.635567,86.93109,1018.2,0
20190106T1300,25.955566,88.06367,1017,0
20190106T1400,26.105566,85.566505,1016.4,0
20190106T1500,25.715567,84.14402,1016.3,0
20190106T1600,25.615566,85.521706,1016.5,0
20190106T1700,24.605566,90.560715,1017,0
20190106T1800,24.095566,92.41873,1017.4,0
20190106T1900,23.735565,93.36144,1017.9,0
20190106T2000,24.425566,91.26639,1018.1,0
20190106T2100,24.215567,92.144684,1018.5,0.2
20190106T2200,23.575565,95.01374,1018.3,0.1
20190106T2300,23.705566,93.871796,1018.4,0.1
20190107T0000,23.685566,94.04214,1018,0.4
20190107T0100,23.155565,94.540375,1017.5,0.1
20190107T0200,23.135567,95.059204,1017.1,0.1
20190107T0300,22.635567,95.33576,1017.1,0.3
20190107T0400,22.695566,95.10482,1017.1,0.2
20190107T0500,22.855566,95.69093,1017.2,0
20190107T0600,22.715567,94.98931,1017.7,0.1
20190107T0700,23.125566,94.65465,1018.3,0.1
20190107T0800,23.565565,93.86673,1018.7,0.1
20190107T0900,24.975567,86.82354,1019,0.4
20190107T1000,25.255566,86.79442,1018.8,0.4
20190107T1100,25.315565,85.6498,1018,0.3
20190107T1200,26.615566,82.07822,1017.4,0.1
20190107T1300,26.325565,83.74905,1016.3,0.2
20190107T1400,26.965567,84.36972,1015.3,0
20190107T1500,26.655565,84.39009,1015.1,0
20190107T1600,26.435566,85.957504,1015.5,0
20190107T1700,24.705566,90.12911,1016.1,0
20190107T1800,23.475567,96.05412,1016.5,0
20190107T1900,23.605566,94.95696,1017.3,0
20190107T2000,23.625566,93.584236,1017.7,0.1
20190107T2100,23.125566,94.94327,1017.8,0.2
20190107T2200,22.865566,94.64656,1018.1,0
20190107T2300,22.095566,94.331955,1018,0
20190108T0000,21.975567,95.55229,1017.7,0
20190108T0100,22.365566,94.572754,1017.4,0.1
20190108T0200,22.315565,94.6291,1017.3,0.1
20190108T0300,22.075565,95.965775,1016.9,0
20190108T0400,22.365566,96.030945,1016.7,0.1
20190108T0500,22.285566,97.56744,1016.7,0.1
20190108T0600,22.515566,97.154205,1016.8,0.1
20190108T0700,22.485565,98.705376,1017.3,0.1
20190108T0800,22.795567,99.24646,1017.9,0.2
20190108T0900,26.085566,81.07793,1018,0.2
20190108T1000,25.725567,84.09405,1017.9,0.2
20190108T1100,25.695566,85.99583,1017.5,0.2
20190108T1200,26.735565,81.05731,1016.9,0.3
20190108T1300,26.845566,80.53349,1015.9,0
20190108T1400,26.315565,83.24374,1014.9,0
20190108T1500,26.275566,83.74393,1014.9,0
20190108T1600,25.965567,84.884636,1015.2,0
20190108T1700,25.355566,86.90793,1015.6,0
20190108T1800,24.425566,93.55785,1016,0
20190108T1900,25.125566,89.07238,1016.9,0
20190108T2000,25.025566,89.3353,1017.3,0
20190108T2100,24.565565,93.00019,1017.6,0
20190108T2200,24.255566,94.40333,1017.9,0
20190108T2300,24.345566,94.97743,1017.7,0.1
20190109T0000,24.175566,93.888596,1017.7,0.2
20190109T0100,24.545567,90.72191,1017.5,0.3
20190109T0200,24.405565,91.48672,1017,0
20190109T0300,23.405565,96.28602,1016.9,0
20190109T0400,23.515566,98.111404,1016.7,0
20190109T0500,23.545567,96.34693,1016.9,0
20190109T0600,23.365566,97.28262,1017.4,0.2
20190109T0700,23.135567,98.70587,1018.1,0.5
20190109T0800,23.105566,100.02923,1018.3,0.1
20190109T0900,25.885567,85.80516,1018.7,0
20190109T1000,25.485565,89.204414,1018.5,0.4
20190109T1100,25.935566,87.060585,1018.3,0
20190109T1200,26.585566,86.022316,1017.5,0
20190109T1300,27.295567,85.061,1016.7,0
20190109T1400,26.665565,86.44316,1015.8,0
20190109T1500,26.695566,87.59255,1015.5,0
20190109T1600,26.545567,86.74478,1015.7,0
20190109T1700,24.995565,92.01518,1016.1,0
20190109T1800,24.465567,96.885666,1016.5,0
20190109T1900,24.075565,97.17297,1016.9,0
20190109T2000,24.225567,96.126816,1017.1,0
20190109T2100,24.275566,96.76667,1017.5,0
20190109T2200,23.685566,95.247375,1017.3,0
20190109T2300,23.985565,94.96759,1017.5,0
20190110T0000,23.235565,96.63417,1017,0.1
20190110T0100,23.385567,96.22726,1016.7,0
20190110T0200,23.515566,94.2078,1016.1,0.1
20190110T0300,23.345566,95.47015,1015.9,0
20190110T0400,23.225567,93.68292,1015.8,0.2
20190110T0500,22.595566,100.03405,1016.1,0.3
20190110T0600,22.555567,98.7655,1016.7,0.3
20190110T0700,22.645567,99.54884,1017.5,0.2
20190110T0800,22.465567,99.85296,1017.7,0
20190110T0900,24.255566,89.55525,1018,0.2
20190110T1000,24.775566,85.652336,1017.9,0.2
20190110T1100,24.665565,85.22545,1017.7,0.1
20190110T1200,26.575565,77.33854,1016.3,0.1
20190110T1300,27.095566,77.50584,1015.6,0
20190110T1400,26.995565,76.60317,1014.5,0
20190110T1500,26.435566,79.80266,1014.5,0
20190110T1600,26.305567,82.341606,1014.3,0
20190110T1700,24.755566,88.56233,1014.8,0
20190110T1800,24.025566,93.940094,1015.3,0
20190110T1900,23.835566,94.1044,1016.1,0
20190110T2000,24.905565,90.633,1016.4,0
20190110T2100,24.705566,93.17436,1016.9,0
20190110T2200,23.205566,96.75106,1016.6,0
20190110T2300,22.525566,97.03591,1016.9,0
20190111T0000,21.985565,98.40344,1016.5,0
20190111T0100,22.215567,97.32854,1016.3,0
20190111T0200,22.235565,96.67657,1015.7,0
20190111T0300,21.815565,97.502785,1015.6,0
20190111T0400,21.805567,97.62224,1015.4,0
20190111T0500,21.795567,99.49235,1016,0
20190111T0600,22.355566,98.28493,1016.6,0
20190111T0700,22.825565,96.392395,1017.3,0
20190111T0800,23.465567,92.61476,1018,0
20190111T0900,26.435566,79.41602,1018.2,0
20190111T1000,26.445566,80.630936,1017.9,0.1
20190111T1100,26.485565,79.42251,1017.5,0.1
20190111T1200,27.565565,72.2121,1016.5,0.2
20190111T1300,27.815565,71.46697,1015.6,0.1
20190111T1400,27.725567,73.83739,1014.5,0
20190111T1500,27.155565,81.49882,1014.6,0
20190111T1600,26.295567,85.68688,1014.4,0
20190111T1700,24.605566,90.61556,1015,0
20190111T1800,24.455566,93.276955,1015.2,0
20190111T1900,23.765566,95.65394,1016.1,0
20190111T2000,25.125566,91.35877,1016.5,0
20190111T2100,25.045567,93.01987,1016.8,0
20190111T2200,24.685566,94.53046,1016.7,0
20190111T2300,24.085566,94.455055,1016.6,0.1
20190112T0000,23.435566,96.28657,1016.3,0
20190112T0100,23.475567,95.99592,1015.7,0.1
20190112T0200,23.395567,95.471375,1015.3,0
20190112T0300,22.975567,96.39514,1015.3,0.1
20190112T0400,23.265566,92.54916,1015.4,0.4
20190112T0500,22.995565,89.8006,1015.7,0.3
20190112T0600,23.355566,90.099464,1016.6,0.1
20190112T0700,23.255566,89.87273,1017.4,0
20190112T0800,23.605566,90.72231,1018.2,0
20190112T0900,25.765566,80.35138,1018.3,0.1
20190112T1000,25.855566,80.36257,1018,0
20190112T1100,25.715567,79.8079,1017.8,0.1
20190112T1200,26.475567,76.43392,1016.9,0.1
20190112T1300,26.645567,76.50551,1015.7,0
20190112T1400,26.515566,77.8969,1014.5,0
20190112T1500,26.135567,80.83812,1014.6,0
20190112T1600,26.225567,81.34096,1014.9,0
20190112T1700,25.185566,88.9152,1015.5,0
20190112T1800,24.215567,95.37598,1016.1,0
20190112T1900,25.285566,91.31221,1016.6,0
20190112T2000,25.425566,91.70453,1017.1,0
20190112T2100,25.665565,93.88358,1017.2,0
20190112T2200,24.475567,94.467155,1017.1,0
20190112T2300,24.495565,95.03876,1016.8,0
20190113T0000,23.375566,96.343864,1016.5,0
20190113T0100,22.615566,95.51009,1016,0
20190113T0200,22.335566,95.85422,1015.6,0
20190113T0300,22.165565,96.793724,1015.4,0
20190113T0400,22.335566,96.796455,1015.3,0
20190113T0500,22.755566,97.3941,1015.5,0
20190113T0600,22.725567,96.21446,1015.9,0
20190113T0700,22.395567,95.27106,1016.6,0
20190113T0800,22.845566,95.51587,1017.5,0
20190113T0900,25.505566,84.48097,1017.8,0.1
20190113T1000,26.365566,81.5054,1017.7,0.1
20190113T1100,26.155565,82.32484,1017.3,0.1
20190113T1200,27.475567,76.48729,1016.5,0.2
20190113T1300,26.585566,79.628395,1015.4,0.3
20190113T1400,27.515566,77.23703,1014.7,0.2
20190113T1500,27.055567,79.92938,1014.8,0.2
20190113T1600,26.855566,80.92486,1014.6,0
20190113T1700,24.965567,86.61207,1015.2,0
20190113T1800,24.085566,91.9151,1015.6,0
20190113T1900,23.815565,92.29351,1015.8,0
20190113T2000,24.265566,89.067055,1016.2,0
20190113T2100,24.815565,87.8177,1015.9,0
20190113T2200,24.425566,89.18649,1015.9,0
20190113T2300,24.045567,90.14291,1015.6,0
20190114T0000,22.695566,92.4659,1015.4,0
20190114T0100,22.465567,92.96699,1015.2,0
20190114T0200,22.225567,93.35705,1014.7,0
20190114T0300,22.245565,94.97553,1014.6,0
20190114T0400,22.355566,94.51449,1014.6,0
20190114T0500,21.755566,96.31281,1014.6,0
20190114T0600,21.485565,95.89326,1014.9,0
20190114T0700,21.355566,94.77294,1015.4,0
20190114T0800,21.995565,97.325905,1016.2,0
20190114T0900,26.025566,80.87392,1016.3,0
20190114T1000,26.665565,77.58684,1016.2,0
20190114T1100,26.455566,76.80483,1015.5,0
20190114T1200,27.505566,74.5232,1014.8,0
20190114T1300,27.315565,77.25552,1013.8,0
20190114T1400,27.545567,76.82211,1012.9,0
20190114T1500,26.895567,79.71616,1012.8,0.2
20190114T1600,26.605566,82.027504,1013,0.1
20190114T1700,24.965567,86.8227,1013.7,0.2
20190114T1800,24.665565,88.555824,1014.5,0
20190114T1900,24.505566,91.32594,1014.8,0.1
20190114T2000,24.385567,92.26442,1015.3,0
20190114T2100,24.605566,89.741394,1015.4,0
20190114T2200,24.395567,86.51029,1015.3,0.1
20190114T2300,23.935566,87.05418,1015.1,0
20190115T0000,23.035566,91.91821,1014.9,0.1
20190115T0100,22.925566,91.57552,1014.4,0.4
20190115T0200,22.565565,90.93935,1013.9,0.4
20190115T0300,22.115566,93.00865,1013.7,0.4
20190115T0400,22.265566,90.64199,1014.3,0.1
20190115T0500,21.865566,92.711365,1014.5,0.2
20190115T0600,22.045567,95.847496,1014.8,0.1
20190115T0700,22.445566,93.53807,1015.8,0
20190115T0800,22.275566,91.20278,1016.7,0
20190115T0900,24.985565,80.54916,1016.7,0.1
20190115T1000,25.195566,82.77005,1016.8,0.2
20190115T1100,24.775566,82.67296,1016,0.2
20190115T1200,26.195566,78.04257,1015.6,0.3
20190115T1300,25.955566,78.679,1014.5,0.3
20190115T1400,25.775566,77.889046,1014,0.2
20190115T1500,25.695566,79.85405,1013.7,0
20190115T1600,25.795567,77.18001,1014.1,0.1
20190115T1700,24.525566,85.7338,1014.6,0.5
20190115T1800,24.085566,87.4398,1015,0.2
20190115T1900,24.265566,86.816414,1015.6,0.2
20190115T2000,24.475567,87.25842,1016.2,0.4
20190115T2100,23.975567,87.96664,1016.4,0.1
20190115T2200,22.985565,91.63483,1016.6,0
20190115T2300,23.285566,88.99803,1016.3,0
20190116T0000,22.725567,91.00456,1016.2,0
20190116T0100,22.665565,91.67397,1015.8,0.1
20190116T0200,22.775566,92.01761,1015.1,0.2
20190116T0300,22.505566,93.712585,1015,0.1
20190116T0400,22.355566,94.57242,1014.9,0.1
20190116T0500,22.815565,89.67838,1015.1,0.4
20190116T0600,22.495565,91.15923,1015.5,0.6
20190116T0700,22.665565,90.55492,1016.2,0.2
20190116T0800,22.405565,96.09051,1017.1,0.2
20190116T0900,23.865566,90.84808,1017.2,0.1
20190116T1000,24.035566,89.64975,1017.3,0.2
20190116T1100,23.905565,92.97254,1016.6,0.1
20190116T1200,24.935566,86.39928,1016.3,0.1
20190116T1300,25.175566,87.26233,1015.1,0.1
20190116T1400,25.605566,86.92863,1014.4,0.2
20190116T1500,24.845566,89.05316,1014.3,0.1
20190116T1600,24.295567,89.666824,1014.5,0.1
20190116T1700,23.615566,91.16656,1014.9,1.4
20190116T1800,23.735565,90.84059,1016,1.5
20190116T1900,23.735565,92.34585,1016,1.8
20190116T2000,23.685566,94.09923,1016.8,2.1
20190116T2100,23.315565,93.00397,1016.9,3.1
20190116T2200,22.695566,92.863304,1017.2,1.1
20190116T2300,22.685566,91.618774,1017.1,1.7
20190117T0000,21.715567,92.30453,1016.8,3.3
20190117T0100,21.735565,91.85054,1016.2,2.6
20190117T0200,21.665565,90.77352,1015.6,1.9
20190117T0300,21.745565,90.666115,1015.3,2.3
20190117T0400,21.625566,91.674416,1015.4,3.8
20190117T0500,21.665565,92.759254,1016.1,4.8
20190117T0600,21.835566,92.36749,1016.5,4.8
20190117T0700,21.885567,90.730774,1017.2,4.5
20190117T0800,21.495565,91.78091,1018.5,4
20190117T0900,22.035566,91.75319,1018.7,3.6
20190117T1000,21.585566,93.734215,1019.1,2.9
20190117T1100,21.805567,92.42302,1018.8,2.6
20190117T1200,22.255566,92.501724,1018.3,1.5
20190117T1300,21.775566,92.53569,1017.1,2.9
20190117T1400,21.805567,91.571014,1016.4,2.2
20190117T1500,21.465567,91.26904,1016,2.7
