LAT,,,,,16.0678,16.0678,16.0678,16.0678,16.0678
LON,,,,,108.221,108.221,108.221,108.221,108.221
ASL,,,,,11,11,11,11,11
CITY,,,,,Da Nang,Da Nang,Da Nang,Da Nang,Da Nang
DOMAIN,,,,,NEMSGLOBAL,NEMSGLOBAL,NEMSGLOBAL,NEMSGLOBAL,NEMSGLOBAL
LEVEL,,,,,2 m above gnd,2 m above gnd,MSL,sfc,sfc
NAME,,,,,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation (high resolution),Total Precipitation (low resolution)
UNIT,,,,,°C,%,hPa,mm,mm
AGGREGATION,,,,,,,,,
UTC_OFFSET,,,,,7,7,7,7,7
,,,,,,,,,
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation,Total Precipitation (low resolution)  [sfc]
2020,1,26,19,0,20.06,91,1014.1,0,0
2020,1,26,20,0,19.75,92,1015,0,0
2020,1,26,21,0,19.47,93,1015.4,0,0
2020,1,26,22,0,19.08,94,1015.3,0.1,0.1
2020,1,26,23,0,18.88,95,1015.4,0.1,0.1
2020,1,27,0,0,18.68,95,1015,0.2,0.2
2020,1,27,1,0,18.43,95,1014.1,0.2,0.2
2020,1,27,2,0,18.23,95,1013.5,0.2,0.2
2020,1,27,3,0,18.12,95,1013.2,0.1,0.1
2020,1,27,4,0,18.01,95,1013.5,0.1,0.1
2020,1,27,5,0,17.95,95,1013.6,0.1,0.1
2020,1,27,6,0,17.93,95,1014.2,0.1,0.1
2020,1,27,7,0,18.2,93,1014.9,0,0
2020,1,27,8,0,18.76,90,1015.2,0,0
2020,1,27,9,0,19.32,89,1015.5,0,0
2020,1,27,10,0,19.86,87,1015.5,0,0
2020,1,27,11,0,20.28,87,1014.9,0,0
2020,1,27,12,0,20.64,86,1014.2,0,0
2020,1,27,13,0,20.97,86,1013.2,0,0
2020,1,27,14,0,21.2,85,1012.2,0,0
2020,1,27,15,0,21.21,86,1011.5,0,0
2020,1,27,16,0,20.98,88,1011.7,0,0
