location,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport
lat,15.87821,15.87821,15.87821,15.87821,15.87821,15.87821,15.87821,15.87821,15.87821,15.87821
lon,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125
asl,26.241,26.241,26.241,26.241,26.241,26.241,26.241,26.241,26.241,26.241
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Precipitation Total
unit,°C,°C,°C,%,%,%,hPa,hPa,hPa,mm
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,MSL,MSL,MSL,sfc
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation
,,,,,,,,,,
,,,,,,,,,,
timestamp,Da Nang International Airport Temperature [2 m elevation corrected],Da Nang International Airport Temperature [2 m elevation corrected],Temperature,Da Nang International Airport Relative Humidity [2 m],Da Nang International Airport Relative Humidity [2 m],Relative Humidity,Da Nang International Airport Mean Sea Level Pressure [MSL],Da Nang International Airport Mean Sea Level Pressure [MSL],Mean Sea Level Pressure,Total Precipitation
20190213T0000,22.145567,28.245565,24.750153,69.55729,95.14745,84.25072,1016.6,1021,1019.03345,0.8
20190214T0000,20.515566,28.355566,24.544313,71.98802,93.865974,85.81939,1014.6,1019.1,1016.9707,0
20190215T0000,21.485565,30.055567,25.20723,65.00926,97.09212,85.13027,1014,1018.6,1016.45,0
20190216T0000,21.205566,29.465567,24.778067,68.69996,97.5263,88.94448,1012.3,1017.5,1014.9668,0
20190217T0000,21.695566,29.205566,25.430151,66.123,100.04017,87.958046,1009.7,1014.9,1012.42896,0
20190218T0000,24.385567,32.455566,27.305983,63.1776,97.58602,86.322105,1009.2,1013.6,1011.175,0
20190219T0000,22.565565,31.815565,27.005564,68.96183,99.597664,89.31366,1010.7,1015.4,1012.95,0
20190220T0000,23.545567,30.625566,26.727232,68.04995,98.0572,86.278984,1013.4,1017.3,1015.13336,0
20190221T0000,23.575565,30.535566,26.64473,70.27196,97.82248,87.997185,1012,1016.8,1014.3001,0
20190222T0000,23.905565,29.845566,26.138067,69.102455,97.29126,85.74537,1011.6,1015.6,1013.13745,0
20190223T0000,22.135567,29.935566,25.795565,63.269554,93.88197,79.88803,1009.1,1013.7,1011.47906,0
20190224T0000,23.885567,28.725567,26.1789,66.436,92.7607,81.46276,1010.8,1014.9,1012.6877,0
20190225T0000,23.515566,28.865566,25.375145,62.734894,95.37962,83.18276,1012.6,1016.5,1014.06244,0
20190226T0000,23.645567,29.695566,26.047651,65.49142,95.47751,84.790634,1012.1,1015.9,1013.7666,0
20190227T0000,22.015566,29.865566,25.883064,66.36784,94.96868,83.391685,1010.1,1014,1012.2834,0
20190228T0000,22.385567,29.865566,26.056398,58.08303,92.31638,79.62196,1010.3,1013.7,1012.11664,0
20190301T0000,22.125566,30.265566,25.964312,62.003906,93.25004,79.39402,1010.7,1014.9,1012.47504,0
20190302T0000,21.885567,30.065565,25.976814,58.38571,92.4415,77.68789,1007.4,1012.7,1010.00415,0
20190303T0000,23.085566,31.305567,26.775146,60.26094,92.91144,80.30252,1005.9,1010.5,1008.38324,0
20190304T0000,24.355566,31.375566,27.298065,61.27038,94.25786,80.30973,1006.7,1011.3,1008.90405,0
20190305T0000,24.355566,31.655565,27.468483,63.435642,91.38125,79.93784,1007,1011.8,1009.15405,0
20190306T0000,23.935566,32.455566,27.71557,68.18497,95.89635,86.16373,1007.8,1011.6,1009.7834,0
20190307T0000,25.945566,29.985565,27.491814,73.16226,99.760925,88.814476,1009.2,1013.7,1010.9959,0
20190308T0000,25.325565,29.815565,27.139732,70.95102,97.307236,86.54989,1009,1014.1,1011.41656,0.1
20190309T0000,24.815565,32.225567,27.579315,65.32424,98.4106,86.54071,1006.4,1012.3,1009.52924,0
20190310T0000,25.635567,31.405565,27.8489,71.47687,97.94366,87.79102,1008.3,1012.9,1010.37933,0
20190311T0000,25.015566,27.645567,25.965147,76.55828,96.20672,86.80856,1011,1015.3,1012.8916,0
20190312T0000,24.405565,28.325565,26.056398,67.61521,92.76896,82.516396,1011.3,1015.9,1013.3958,0.1
20190313T0000,24.785566,30.635567,26.983063,64.19828,97.01514,84.190636,1011.3,1015.7,1013.1291,0
20190314T0000,25.115566,31.165565,27.544313,54.922173,98.52804,79.84701,1011.4,1016.6,1013.72925,0
20190315T0000,24.945566,30.265566,27.0139,66.52311,93.74614,83.811646,1013.9,1018.1,1015.75415,1.6
20190316T0000,24.505566,29.495565,26.799318,80.36159,93.69975,86.446266,1014.2,1018.5,1016.2458,2.7999995
20190317T0000,25.115566,30.215567,26.911818,69.809105,93.31342,85.2353,1013,1018.3,1015.42096,2.9999998
20190318T0000,24.265566,31.015566,26.968063,65.47698,96.61123,84.5422,1011.2,1016.6,1013.9998,0.1
20190319T0000,24.855566,30.835566,26.990149,63.925068,96.42947,85.08196,1009.7,1014.4,1012.19165,0
20190320T0000,22.645567,31.925566,27.128485,58.70401,97.51159,82.549446,1008.3,1013.5,1010.8918,0
20190321T0000,24.065565,32.585567,27.967234,64.51398,95.31471,82.30339,1007,1011.9,1009.4834,0
20190322T0000,25.345566,33.59557,28.749733,65.70842,95.57402,83.08065,1006.7,1010.7,1008.7957,0
20190323T0000,25.785566,29.895567,27.306398,74.757256,95.71144,88.87518,1008.6,1013.4,1010.8291,0
20190324T0000,25.175566,28.885567,26.724314,77.82856,96.89931,88.84466,1011.2,1014.7,1012.89996,9.6
20190325T0000,24.605566,28.415565,26.11473,73.97329,95.85445,86.00402,1012.4,1016.3,1014.08746,1.5000002
20190326T0000,24.785566,30.145567,26.916395,63.77697,90.18857,81.23058,1013.7,1017.5,1015.26666,0
20190327T0000,23.365566,30.915565,27.020151,63.92544,95.131516,83.74381,1011.7,1016.8,1014.21655,0
20190328T0000,24.215567,31.995565,27.837646,64.541306,95.040054,81.187096,1007.6,1013.8,1010.80414,0
20190329T0000,25.215567,32.835567,28.247648,69.67803,94.54621,85.04982,1006.3,1010.1,1008.2292,0
20190330T0000,26.115566,32.065567,28.183481,60.57367,94.20217,82.76612,1007.5,1011.6,1009.7541,1.3
20190331T0000,25.685566,30.155565,27.798483,72.128426,95.76051,86.32288,1009.6,1013.8,1011.7292,0.8
20190401T0000,25.255566,32.105568,27.803484,58.354633,95.92593,82.08217,1011.6,1016,1013.6416,0
20190402T0000,25.435566,31.445566,27.948479,64.935486,95.11995,82.64824,1011.2,1015.9,1013.54175,1.1
20190403T0000,24.605566,33.015568,28.095148,56.650364,93.48398,78.81462,1010.8,1015.8,1013.13324,0
20190404T0000,24.825565,32.84557,28.27932,56.508305,92.30736,77.26283,1011,1014.8,1013.02496,0
20190405T0000,25.895567,33.59557,29.159311,53.102478,86.273445,73.27827,1010.7,1015,1012.96674,0
20190406T0000,25.365566,32.68557,28.648483,59.052395,93.312294,77.5251,1009.2,1014.4,1012.10004,0
20190407T0000,24.615566,34.245567,28.875565,50.007225,90.34221,73.952835,1008.3,1013.4,1011.0501,0
20190408T0000,25.435566,33.975567,29.352228,56.058422,91.81919,75.32235,1007.8,1011.7,1009.8333,0
20190409T0000,25.935566,34.725567,29.830984,58.302418,89.07379,72.24699,1007.1,1010.7,1009.1624,0
20190410T0000,26.555567,35.225567,29.945982,54.13956,89.649506,72.06535,1006.8,1010.8,1008.8208,0
20190411T0000,25.815565,35.605568,30.083899,47.3198,90.84834,70.79379,1005,1009.4,1007.39594,0
20190412T0000,26.345566,34.385567,29.965979,58.86555,90.400345,76.05579,1006.3,1010,1007.99603,0
20190413T0000,27.815565,35.135567,30.546816,53.698578,94.78497,77.29891,1007,1011,1009.1584,0
20190414T0000,27.565565,34.775566,30.09432,59.83211,92.68035,77.07425,1008.1,1011.9,1009.67084,0
20190415T0000,26.665565,35.085567,30.405151,57.71176,92.58733,74.51572,1007.9,1012.1,1009.9917,0
20190416T0000,27.605566,35.525566,31.0589,53.34334,89.874115,73.09996,1007.1,1011.7,1009.62915,0
20190417T0000,28.025566,34.775566,30.778067,57.970478,91.39666,75.098076,1007.3,1012.4,1009.58746,0
20190418T0000,27.805567,37.295567,32.145145,45.196156,90.41924,67.12858,1004.1,1009.8,1007.0417,0
20190419T0000,28.445566,38.87557,33.295567,40.540222,83.56395,62.57004,1001.8,1006.6,1004.6875,0
20190420T0000,28.885567,38.91557,33.027233,40.377815,83.37965,64.55541,1001.6,1005.8,1003.9377,0
20190421T0000,28.455566,37.655567,32.57765,42.489925,87.362755,66.57098,1002.7,1006.2,1004.49176,0
20190422T0000,28.065565,36.015568,30.844316,50.870945,87.44337,71.41904,1004.4,1008.2,1006.09595,0
20190423T0000,26.535566,36.745567,30.565979,47.455063,87.89568,70.338905,1006.9,1010.3,1008.429,0
20190424T0000,25.715567,35.515568,30.381401,48.802837,91.994125,71.43984,1006.2,1010.7,1008.30835,0
20190425T0000,25.225567,36.66557,30.13682,39.709145,91.639404,68.873375,1005.4,1009.8,1007.34576,0
20190426T0000,25.825565,34.84557,29.741814,49.824226,90.071686,72.86265,1005.7,1009.6,1007.5459,0
20190427T0000,26.235565,34.37557,29.334734,52.271675,89.684296,74.23274,1006.9,1010.7,1009.10016,0
20190428T0000,26.445566,35.18557,30.448069,52.943382,88.94814,70.601036,1007.3,1012.1,1009.6501,0
20190429T0000,27.255566,35.815567,30.856817,49.40749,85.09519,68.63831,1006.2,1011,1008.60834,0
20190430T0000,27.675566,36.565567,31.048063,47.495113,83.79255,70.34092,1003.8,1009,1007.10425,0
20190501T0000,27.665565,34.115566,30.408066,52.55692,89.37734,71.39213,1006,1010.6,1007.95825,0
20190502T0000,26.545567,34.765568,30.053896,52.303402,89.33341,71.33464,1007.3,1011.2,1008.97095,0
20190503T0000,27.345566,34.525566,30.185148,62.453827,93.05833,79.32442,1008.2,1012.7,1010.17487,0.5
20190504T0000,27.715567,34.835567,30.266813,58.477093,92.97464,78.07458,1006.3,1011,1009.01245,0
20190505T0000,27.815565,38.205566,32.65765,43.193817,88.52297,64.03579,1003,1008.5,1006.0876,0
20190506T0000,29.585566,40.32557,33.652237,37.614025,83.43167,63.19124,1001.9,1005.8,1004.26245,1.9
20190507T0000,29.525566,36.105568,32.34473,48.799873,81.08662,65.407616,1002.7,1007,1004.6042,0.90000004
20190508T0000,26.855566,36.37557,30.50057,47.925037,90.473076,73.74015,1002.3,1006.7,1004.75824,11.7
20190509T0000,27.025566,33.21557,29.229736,64.32527,93.429,80.988434,1003.4,1008.7,1005.9541,12.3
20190510T0000,26.705566,32.705566,29.0739,72.00426,94.629555,84.44925,1006.4,1010.1,1007.90826,9.1
20190511T0000,26.985565,31.355566,28.638481,72.02172,90.756485,83.58737,1007.3,1011,1009.1667,14.1
20190512T0000,26.635567,32.905567,29.318903,71.793724,93.96741,83.215294,1005.8,1010.4,1008.2791,1.4000001
20190513T0000,26.715567,34.115566,29.415148,64.84763,91.74459,80.41082,1005.5,1009.3,1007.7332,7.6
20190514T0000,26.715567,35.355568,31.039736,62.808495,92.861374,78.84644,1004.9,1008.8,1007.07495,0
